source,group,split,case,audit,gt,label,hybrid_trace,hybrid_column,hybrid_positive_frames,response_episode_count,response_episode_onsets,first_response_frame,backward36_window_start,eligible_candidate_count,eligible_candidate_frames,backward36_score,backward36_best_frame,future_pair_score_36,max_event_score,status
OLD29,FRESH20,FRESH20,Cosmos3_seed102_0036,NO_CONTACT,NO_CONTACT,0.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed102_0036_hybrid_trace.csv,hybrid_candidate,41,3,"94,102,140",94.0,58.0,7,"63,67,79,91,96,115,127",11.350433822458124,67.0,11.350433822458124,11.350433822458124,OK
OLD29,FRESH20,FRESH20,Cosmos3_seed102_0042,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed102_0042_hybrid_trace.csv,hybrid_candidate,0,0,,,,0,,,,,5.695239355912678,ABSTAIN_NO_RELIABLE_RESPONSE
OLD29,FRESH20,FRESH20,Cosmos3_seed103_0003,CONTACT_UNCERTAIN,UNRESOLVED,,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed103_0003_hybrid_trace.csv,hybrid_candidate,62,2,"75,80",75.0,39.0,2,"64,75",1.5409679113122383,75.0,76.91867903338876,76.91867903338876,OK
OLD29,FRESH20,FRESH20,Cosmos3_seed103_0004,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed103_0004_hybrid_trace.csv,hybrid_candidate,131,2,"55,67",55.0,19.0,4,"24,47,49,63",0.8031728072122468,63.0,50.0,50.0,OK
OLD29,PRIMARY9,PRIMARY9,Cosmos3_seed103_0011,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed103_0011_hybrid_trace.csv,hybrid_candidate,71,3,"62,67,131",62.0,26.0,7,"35,47,51,59,97,99,123",18.498285700377256,35.0,18.498285700377256,18.498285700377256,OK
OLD29,PRIMARY9,PRIMARY9,Cosmos3_seed103_0022,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed103_0022_hybrid_trace.csv,hybrid_candidate,49,3,"132,138,160",132.0,96.0,5,"105,117,127,129,141",50.0,141.0,50.0,50.0,OK
OLD29,FRESH20,FRESH20,Cosmos3_seed103_0026,UNSCORED,UNRESOLVED,,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed103_0026_hybrid_trace.csv,hybrid_candidate,7,2,"140,170",140.0,104.0,5,"109,121,127,134,146",53.980120098499896,134.0,53.980120098499896,53.980120098499896,OK
OLD29,FRESH20,FRESH20,Cosmos3_seed103_0028,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed103_0028_hybrid_trace.csv,hybrid_candidate,24,4,"144,150,172,186",144.0,108.0,7,"112,124,137,149,157,162,175",11.895254149238758,149.0,11.895254149238758,11.895254149238758,OK
OLD29,FRESH20,FRESH20,Cosmos3_seed103_0035,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed103_0035_hybrid_trace.csv,hybrid_candidate,58,2,"127,135",127.0,91.0,6,"92,100,104,116,127,128",0.3546750219864717,127.0,21.76810433975689,21.76810433975689,OK
OLD29,FRESH20,FRESH20,Cosmos3_seed103_0036,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed103_0036_hybrid_trace.csv,hybrid_candidate,0,0,,,,0,,,,,13.655903224901657,ABSTAIN_NO_RELIABLE_RESPONSE
OLD29,PRIMARY9,PRIMARY9,Cosmos3_seed103_0037,NO_CONTACT,NO_CONTACT,0.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed103_0037_hybrid_trace.csv,hybrid_candidate,22,7,"131,135,140,144,157,175,180",131.0,95.0,6,"97,102,129,143,155,158",44.48017873814519,129.0,44.48017873814519,44.48017873814519,OK
PILOT5,PILOT5_CONTACT,FRESH20,Cosmos3_seed101_0035,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/vlm_contact_oracle9/table_pilot8_v1/motion_hybrid/Cosmos3_seed101_0035_hybrid_trace.csv,hybrid_candidate,26,2,"102,121",102.0,66.0,4,"93,96,105,117",0.2742752841191843,117.0,0.2742752841191843,0.2742752841191843,OK
PILOT5,PILOT5_CONTACT,FRESH20,Cosmos3_seed102_0018,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/vlm_contact_oracle9/table_pilot8_v1/motion_hybrid/Cosmos3_seed102_0018_hybrid_trace.csv,hybrid_candidate,27,2,"157,168",157.0,121.0,6,"126,127,139,152,161,164",22.935133387070405,139.0,26.334513949546416,26.334513949546416,OK
PILOT5,PILOT5_CONTACT,FRESH20,Cosmos3_seed102_0020,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/vlm_contact_oracle9/table_pilot8_v1/motion_hybrid/Cosmos3_seed102_0020_hybrid_trace.csv,hybrid_candidate,98,2,"82,91",82.0,46.0,5,"47,59,65,71,83",66.06668033739192,65.0,66.06668033739192,66.06668033739192,OK
PILOT5,PILOT5_CONTACT,FRESH20,Cosmos3_seed103_0008,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/vlm_contact_oracle9/table_pilot8_v1/motion_hybrid/Cosmos3_seed103_0008_hybrid_trace.csv,hybrid_candidate,113,2,"63,75",63.0,27.0,3,"42,72,74",0.0480009820698962,74.0,58.96228401776607,58.96228401776607,OK
PILOT5,PILOT5_CONTACT,FRESH20,Cosmos3_seed103_0023,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/vlm_contact_oracle9/table_pilot8_v1/motion_hybrid/Cosmos3_seed103_0023_hybrid_trace.csv,hybrid_candidate,20,2,"139,148",139.0,103.0,4,"119,126,131,143",8.540654847719477,143.0,8.540654847719477,8.540654847719477,OK
COSMOS25_4,COSMOS25_SELECTED4,COSMOS25,Cosmos2.5_0006,CLEAR_NO_CONTACT_VISIBLE_GAP_DEV_HISTORY,NO_CONTACT,0.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/vlm_contact_oracle9/cosmos25_fourcase_v1/motion_hybrid/Cosmos2.5_0006_hybrid_trace.csv,hybrid_candidate,4,1,5,5.0,-31.0,0,,,,89.45901922372185,89.45901922372185,ABSTAIN_NO_PRE_RESPONSE_CANDIDATE
COSMOS25_4,COSMOS25_SELECTED4,COSMOS25,Cosmos2.5_0013,HARD_SPECIAL_UNRESOLVED,UNRESOLVED,,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/vlm_contact_oracle9/cosmos25_fourcase_v1/motion_hybrid/Cosmos2.5_0013_hybrid_trace.csv,hybrid_candidate,22,1,70,70.0,34.0,2,"37,39",2.517788850975641,37.0,7.582335675583208,83.36461332737454,OK
COSMOS25_4,COSMOS25_SELECTED4,COSMOS25,Cosmos2.5_0024,CLEAR_NO_CONTACT_PROJECTED_OVERLAP,NO_CONTACT,0.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/vlm_contact_oracle9/cosmos25_fourcase_v1/motion_hybrid/Cosmos2.5_0024_hybrid_trace.csv,hybrid_candidate,32,2,"42,76",42.0,6.0,7,"8,15,20,21,27,32,69",1.7682038629078571,32.0,1.7682038629078571,5.695239355912678,OK
COSMOS25_4,COSMOS25_SELECTED4,COSMOS25,Cosmos2.5_0028,PRE_CONTACT_SAM_MASK_DEV_HISTORY,NO_CONTACT,0.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/vlm_contact_oracle9/cosmos25_fourcase_v1/motion_hybrid/Cosmos2.5_0028_hybrid_trace.csv,hybrid_candidate,29,5,"35,41,61,67,84",35.0,-1.0,8,"4,16,28,47,48,68,79,81",8.465394091961922,48.0,8.465394091961922,8.465394091961922,OK
